word,phonetic,translation,frq
abstain,әb'stein,"vi. 自制, 戒绝, 弃权, 回避",13833
abstinence,'æbstinәns,"n. 节制, 禁欲, 戒酒\n[医] 节制, 禁戒(如禁酒,节欲)",10794
abstract,'æbstrækt,"a. 抽象的, 深奥的\nn. 摘要, 抽象概念\nvt. 摘要, 提炼, 使抽象化\n[计] 摘录; 摘要; 抽象",4007
abstraction,æb'strækʃәn,"n. 抽象化, 心不在焉, 空想, 提炼, 抽象派作品\n[化] 提取; 抽取; 夺取; 夺取反应; 除去",8413
abstruse,æb'stru:s,"a. 难解的, 深奥的",29894
absurd,әb'sә:d,"a. 荒谬的, 不合理的, 可笑的\nn. 荒诞",5901
abundance,ә'bʌndәns,"n. 丰富, 充足, 大量\n[经] 丰富, 充裕",5425
abundant,ә'bʌndәnt,"a. 丰富的, 充分的, 大量的",6223
abundantly,ә'bʌndәntli,"adv. 大量地, 丰富地",16050
abuse,ә'bju:s.ә'bju:z,"n. 滥用, 虐待, 恶习, 辱骂\nvt. 滥用, 辱骂, 虐待",1540
abut,ә'bʌt,"v. 邻接, 毗邻",18235
abyss,ә'bis,"n. 深渊, 深邃, 地狱",11847
academic,.ækә'demik,"a. 学院的, 学术的, 不切实际的\nn. 大学生, 大学教师, 学者, 学会会员",1465
academician,ә.kædә'miʃәn,"n. 学会会员, 院士, 学究, 大学生, 学者",21212
academy,ә'kædәmi,"n. 学院, 院校, 学会",4895
accelerate,әk'selәreit,"v. 加速, 促进",4925
accelerated,әk'selәreitid,a. 加快的\n[医] 加速的,10808
accelerating,æk'selәreitiŋ,[计] 加速,14876
acceleration,әk.selә'reiʃәn,"n. 加速, 促进, 加速度\n[化] 加速度",8018
accentuate,æk'sentjueit,"vt. 以重音念, 强调, 重读",10880
access,'ækses,"n. 通路, 入口, 接近, 进入, 使用权, 发作\nvt. 访问, 存取, 接近, 使用\n[计] 访问, 存取",1113
accessibility,әk.sesә'biliti,"n. 易接近, 可进入\n[化] 可及性; 可达性; 可接近性; 吸湿性",10407
accessible,әk'sesәbl,"a. 易接近的, 可进入的, 可使用的, 易受影响的, 可理解的",4377
accessory,әk'sesәri,"n. 附件, 零件, 附加物, 从犯, 同谋\na. 附属的, 补充的, 同谋的, 帮凶的, 非主要的, 副的\n[计] 附件",6429
accident,'æksidәnt,"n. 意外事件, 机遇, 事故, 次要方面\n[化] 意外事故; 事故",1707
accidental,.æksi'dentl,"a. 意外的, 偶然的, 非主要的, 附属的\nn. 临时记号, 次要方面",7485
accidentally,.æksi'dentli,"adv. 偶然地, 意外地",7057
acclaim,ә'kleim,"n. 喝彩, 欢呼, 赞同\nv. 欢呼, 喝彩, 称赞",12422
acclaimed,ə'kleɪmd,v. 欢呼（acclaim的过去式及过去分词）\na. 受到赞扬的,11493
accommodate,ә'kɒmәdeit,"vt. 使适应, 调和, 通融, 容纳, 向...提供\nvi. 适应",3717
accommodating,ә'kɒmәdeitiŋ,"a. 与人方便的, 肯通融的",21838
accompaniment,ә'kʌmpәnimәnt,"n. 伴随物, 附加物, 伴奏",11320
accompany,ә'kʌmpәni,"vt. 陪伴, 伴随, 补充, 为...伴奏\nvi. 伴奏, 伴唱",2438
accompanying,,"a. 随同的, 附见的",6968
accomplice,ә'kʌmplis,"n. 共犯, 同谋\n[医] 协同菌",12704
accomplish,ә'kʌmpliʃ,"vt. 完成, 达到, 实现, 使完美",2345
accomplished,ә'kʌmpliʃt,"a. 完成的, 实现的, 有造诣的, 熟练的, 善社交的",8941
accomplishment,ә'kʌmpliʃmәnt,"n. 成就, 完成",4308
accord,ә'kɒ:d,"n. 一致, 调和, 协定\nvt. 给与, 使一致\nvi. 相符合",6075
accordion,ә'kɒ:djәn,n. 手风琴\na. 可折叠的,14592
accost,ә'kɒst,"vt. 招呼, 搭讪, 勾引\n[法] 勾引, 引诱",19030
account,ә'kaunt,"n. 报告, 解释, 估价, 理由, 利润, 算账, 帐目\nvi. 报帐, 解释, 导致, 报偿, 占, 杀死\nvt. 认为\n[计] 帐户, 帐号",1071
account for,,对…负有责任；对…做出解释；说明……的原因；导致；（比例）占,0
accountant,ә'kauntәnt,"n. 会计人员, 会计师\n[经] 会计师, 会计人员",5949
accounting,ә'kauntiŋ,"n. 会计学, 帐单, 清帐\n[计] 帐户处理, 记帐",3921
accredit,ә'kredit,"vt. 信托, 确认, 归结于, 委派\n[经] 发行信用证, 信托, 委托",16480
accumulate,ә'kju:mjuleit,"v. 积聚, 堆积",5083
accumulation,ә.kju:mju'leiʃәn,"n. 积聚, 累积, 积聚物\n[医] 蓄积, 累积",8460
accuracy,'ækjurәsi,"n. 精确, 正确\n[计] 准确度",4076
accurate,'ækjurәt,"a. 正确的, 精确的\n[经] 准确的, 精确的",2728
accusation,ækju:'zeiʃәn,"n. 控告, 指控, 指责\n[法] 控告, 起诉, 告发",4870
accuse,ә'kju:z,"vt. 指责, 控告, 归咎于\nvi. 指责, 控告",2024
accustom,ә'kʌstәm,vt. 使习惯于,7584
accustomed,ә'kʌstәmd,"a. 惯常的, 习惯了的",8524
achieve,ә'tʃi:v,"vt. 完成, 达到\nvi. 如愿以偿",1152
achievement,ә'tʃi:vmәnt,"n. 完成, 成就, 功业",2021
acid,'æsid,"n. 酸, 酸类物质, 尖刻, 迷幻药\na. 酸的, 酸性的, 尖刻的, 敏锐的\n[计] 自动文档互参与索引生成程序",3238
acidic,ә'sidik,"a. 成酸的, 尖刻的, 酸性的\n[机] 酸性",14328
acidity,ә'siditi,n. 酸性\n[化] 酸度; 酸性; 酸性反应,17453
acknowledge,әk'nɒlidʒ,"vt. 承认, 告知收悉, 答谢, 报偿\n[经] 承认, 答谢, 收到的通知",1654
acme,'ækmi,"n. 顶点, 极度, 最高点\n[医] 极期",28061
acoustical,ә'ku:stikәl,"a. 听觉的, 声学的",24425
acquaint,ә'kweint,"vt. 使认识, 介绍",9630
acquaintance,ә'kweintәns,"n. 认识, 相识者",6274
acquainted,ә'kweintid,a. 知晓的；有知识的；熟识的,0
acquire,ә'kwaiә,"vt. 获得, 学到\n[电] 目标锁定",2063
acquisition,.ækwi'ziʃәn,"n. 获得, 获得物\n[经] 收购, 招揽, 取得",3856
acquisitive,ә'kwizitiv,"a. 渴望获得的, 贪婪的\n[法] 取得的, 获得的, 贪得无厌的",28517
acquit,ә'kwit,"vt. 无罪释放, 表现, 使履行\n[法] 开释, 释放, 免",9999
acre,'eikә,n. 英亩,0
acrid,'ækrid,"a. 苦味的, 辛辣的, 讥讽的, 刻薄的\n[医] 辛辣的",18600
acrimonious,ækri'mәunjәs,"a. 尖刻的, 讥讽的, 激烈的",20973
acrimony,'ækrimәni,"n. 严厉, 尖刻\n[医] 辛辣",22245
acronym,'ækrәunim,"n. 首字母缩拼词, 首字母组合词\n[计] 字首组合词",13493
acting,'æktiŋ,"n. 演戏, 装腔作势\na. 代理的, 演出用的, 起作用的",8387
action,'ækʃәn,"n. 行动, 活动, 动作, 作用, 战斗, 行为, 诉讼\nvt. 对...起诉\n[计] 方式",502
activate,'æktiveit,"vt. 使活动, 使激活, 正式建成\nvi. 有活力",6113
active,'æktiv,"a. 活跃的, 起作用的, 积极的, 有效的, 主动的, 活性的, 现行的, 现役的\nn. 主动语态, 积极分子",1444
actively,'æktivli,"adv. 活跃地, 积极地",4307
actual,'æktʃuәl,"a. 真实的, 实际的, 现行的\n[医] 实际死亡率",1739
actually,'æktʃuәli,"adv. 事实上, 竟然, 如今, 现在",396
actuate,'æktʃueit,"vt. 开动, 驱使, 激励",29241
acumen,ә'kju:men,"n. 敏锐, 聪明",17842
acupuncture,'ækju.pʌŋktʃә,"n. 针刺, 针刺疗法\nvt. 施以针灸",15282
acute,ә'kju:t,"a. 尖锐的, 敏锐的, 激烈的, 严重的, 急性的\n[医] 急性的; 尖锐的",5255
adage,'ædidʒ,"n. 格言, 谚语",15783
adamant,'ædәmәnt,"n. 坚硬的东西\na. 非常坚硬的, 坚强的, 固执的",11251
adapt,ә'dæpt,"vt. 使适应, 改编\nvi. 适应",2933
adaptable,ә'dæptәbl,"a. 能适应的, 适合的, 可修改的",14811
adaptation,.ædæp'teiʃәn,"n. 适应, 改编, 改编本\n[医] 适应[作用]",5196
adaptive,ә'dæptiv,"a. 适应的, 能适应的",8259
addict,ә'dikt,"vt. 使沉溺, 使上瘾\nn. 入迷的人, 上瘾者",6091
addicted,ә'diktid,"a. 沉溺于...的, 无法摆脱(某种嗜好)的\n[法] 嗜, 好, 惯于",23549
addictive,ә'diktiv,a. 上瘾的,10283
additional,ә'diʃәnәl,"a. 附加的, 另外的, 额外的\n[机] 加添的, 附加的",1319
additive,'æditiv,"a. 添加的, 附加的, 加法的, 累积的\nn. 添加物",14762
addle,'ædl,"vt. 使昏乱, 使腐坏\nvi. 变质\na. 昏乱的, 腐坏的",37606
address,ә'dres,"n. 住址, 演说, 举止, 灵巧, 求爱\nvt. 发表(演说或讲话), 对付, 写地址\n[计] 地址, 寻址",1028
adept,ә'dept,"a. 熟练的, 老练的, 巧妙的\nn. 能手, 内行",10221
adequate,'ædikwәt,"a. 适当的, 足够的\n[法] 胜任的, 适当的, 充分的",3297
adhere,әd'hiә,"vi. 依附, 粘着, 坚持, 追随, 拥护\nvt. 使粘附",6516
adherence,әd'hiәrәns,"n. 依附, 固执, 坚持\n[化] 粘合",9972
adhesive,әd'hi:siv,"a. 粘着的, 涂有粘性物质的\nn. 粘合剂, 橡皮膏",17140
adjacent,ә'dʒeisәnt,"a. 毗连的, 邻近的, 连接的\n[机] 相邻的, 邻位的, 交界的",6649
adjoin,ә'dʒɒin,"v. 邻接, 毗连",17562
adjoining,ә'dʒɒiniŋ,"a. 邻接的, 毗连的\n[机] 联接",11972
adjourn,ә'dʒә:n,"vi. 休会, 换地方\nvt. 使中止, 推迟",16425
adjunct,'ædʒʌŋkt,"n. 附属物, 附件, 助手, 修饰语\na. 附属的",11816
adjust,ә'dʒʌst,"vt. 调整, 使适应于, 校准\nvi. 适应于, 被调节, 相互熟悉而适应",2300
adjustment,ә'dʒʌstmәnt,"n. 调整, 调节, 校正\n[化] 调节",3121
administer,әd'ministә,"vt. 管理, 料理, 执行\nvi. 执行遗产管理人的职责, 给予帮助",3661
administrate,әd'ministreit,"vt. 管理, 支配",36644
administration,әd.mini'streiʃәn,"n. 行政, 管理, 政府机关\n[化] 给药",635
administrative,әd'ministrәtiv,"a. 管理的, 行政的\n[法] 行政的, 管理的, 遗产管理的",3510
administrator,әd'ministreitә,"n. 管理人, 行政官\n[经] 遗产管理人员",2484
admirable,'ædmәrәbl,"a. 可钦佩的, 极好的, 令人惊奇的",10469
admiration,.ædmә'reiʃәn,"n. 赞赏, 钦佩, 引人赞赏的对象",6964
admire,әd'maiә,"vt. 赞美, 钦佩, 爱慕\nvi. 称赞, 惊奇",3277
admission,әd'miʃәn,"n. 准许进入, 入场费, 录用, 承认\n[经] 加入, 入股",3031
admit,әd'mit,"vt. 承认, 接受, 允许进入, 容许\nvi. 开向, 容许, 承认",1089
admittedly,әd'mitidli,"adv. 公认地, 诚然",8927
admonish,әd'mɒniʃ,"vt. 警告, 劝告, 训诫, 告诫",12419
adobe,ә'doubi,n. 风干土坯\n[化] 风干砖; 土砖; 灰质粘土; 多孔粘土,14939
adolescent,.ædәu'lesәnt,"a. 青春期的, 青少年的\nn. 青少年",3386
adopt,ә'dɒpt,"vt. 采用, 正式通过, 收养, 接受\n[医] 采取",1632
adoption,ә'dɒpʃәn,"n. 采用, 采纳, 收养\n[法] 收养, 采纳, 采用",3674
adore,ә'dɒ:,"vt. 崇拜, 爱慕, 喜爱\nvi. 崇拜, 爱慕",7705
adorn,ә'dɒ:n,"vt. 装饰, 使生色",8007
adornment,ә'dɒ:nmәnt,"n. 装饰, 装饰品",19010
adroit,ә'drɒit,"a. 灵巧的, 敏捷的, 聪明的",26237
adulteration,ә.dʌltә'reiʃәn,"n. 掺杂, 掺假的东西\n[化] 掺杂; 掺加",41561
advance,әd'vɑ:ns,"n. 前进, 进展, 行过的路程\nvi. 前进, 进展, 提高, 上涨\nvt. 使前进, 促进, 提出, 提高, 使提前, 预付\na. 前面的, 预先的",2296
advanced,әd'vɑ:nst,"a. 在前的, 高级的, 先进的, 年老的\n[法] 预付的, 预支的, 垫付的",2797
advancement,әd'vɑ:nsmәnt,"n. 前进, 进步, 提升\n[医] 徙前术",6629
advent,'ædvәnt,"n. 来到, 来临",8129
adventitious,.ædven'tiʃәs,"a. 偶然的, 外来的\n[医] 偶生的, 偶发的; 异位的",40998
adventure,әd'ventʃә,"n. 冒险, 冒险经历\nv. 冒险",2862
adventurer,әd'ventʃәrә,"n. 冒险家, 投机者\n[法] 冒险者, 投机者",13381
adventurous,әd'ventʃәrәs,"a. 喜欢冒险的, 有进取心的, 危险的",10890
adverse,'ædvә:s,"a. 不利的, 敌对的, 相反的, 逆的\n[法] 相反的, 敌对的, 逆的",6307
adversely,,"adv. 不利, 有害, 相反, 逆, 敌对, 逆向",12569
adversity,әd'vә:sәti,"n. 逆境, 不幸, 灾祸, 灾难",11343
advice,әd'vais,"n. 忠告, 劝告, 意见, 报道, 通知\n[经] 通知书, 通知, 建议",1641
advisable,әd'vaizәbl,"a. 适当的, 明智的",18573
advise,әd'vaiz,"vt. 劝告, 给...出主意, 通知, 建议\nvi. 提意见, 商量",2552
advocate,'ædvәkeit,"n. 提倡者, 拥护者\nvt. 主张, 提倡",2623
aerodynamics,.єәrәudai'næmiks,n. 空气动力学\n[化] 空气动力学,21018
aesthetic,i:s'θetik,"a. 美学的, 审美的, 有美感的",4296
aesthetical,i:s'θetikәl,"a. 美学的, 艺术的, 美的, 审美的",0
affable,'æfәbl,"a. 和蔼可亲的, 友善的, 亲切的, 慈祥的",16207
affair,ә'fєә,"n. 事件, 事务, 恋爱事件",1364
affect,ә'fekt,"vt. 影响, 感动, 假装, 模仿, 爱好, 倾向于\nn. 自觉感情",963
affected,ә'fektid,"a. 假装的, 做作的, 受影响的",9017
affection,ә'fekʃәn,"n. 影响, 病, 喜爱, 情感, 倾向\n[医] 疾患, 病变, 病; 感情",5137
affectionate,ә'fekʃәnәt,"a. 深情的, 充满情爱的",12111
affective,ә'fektiv,"a. 情感的, 表达感情的\n[医] 感情的, 情感的",8614
affiliate,ә'filieit,"vt. 使紧密联系, 使附属, 接纳, 收养\nvi. 发生联系, 参加",6929
affinity,ә'finiti,"n. 吸引, 姻亲关系, 类同\n[化] 亲合力; 亲合能; 亲合势; 近似; 类似",9246
affirm,ә'fә:m,"v. 断言, 确认",5714
afflict,ә'flikt,"vt. 使苦恼, 折磨",9633
affliction,ә'flikʃәn,"n. 苦恼, 折磨, 苦恼的事由",13678
affluence,'æfluәns,"n. 富裕, 丰富, 流注\n[医] 丰富, 流入",14739
affluent,'æfluәnt,"a. 丰富的, 富裕的\nn. 支流, 富人",7167
afford,ә'fɒ:d,"vt. 买得起, 足以, 给予",1846
affordable,,[计] 普及型,5234
age,eidʒ,"n. 年龄, 老年, 成年, 寿命, 时代, 时期\nv. 变老, 成熟",386
aged,'eidʒid,"a. 老的, 陈的, 有...岁的\n[化] 老化的; 老化了的; 陈化的; 陈化了的",8479
agenda,ә'dʒendә,"pl. 议程, 日常工作事项\n[计] 待议事件",2130
agent,'eidʒәnt,"n. 代理商, 政府代表, 动原, 媒介\n[计] 代理程序",1020
aggravate,'ægrәveit,"vt. 使恶化, 使更严重, 加重",9820
aggravating,'ægrәveitiŋ,"a. 使恶化的, 加重的, 恼人的",30556
aggregate,'ægrigәt,"n. 合计, 总计, 聚集体\na. 合计的, 聚集的\nv. 聚集, 集合, 合计达\n[计] 聚合体; 聚集",12841
aggregation,ægri'geiʃәn,"n. 集合, 聚合, 集合体\n[化] 聚集; 聚集作用",17277
aggression,ә'greʃәn,"n. 侵犯, 侵略\n[医] 攻击",4521
aggressive,ә'gresiv,"a. 侵略的, 挑畔的, 进取的\n[法] 侵略的, 爱挑衅的, 行为过火的",2514
aggressiveness,,"n. (贬)侵略, 侵犯, 寻衅, (褒)敢作敢为, 有进取心, (武器)攻击性, 过分, 放肆",15115
aghast,ә'gɑ:st,"a. 惊骇的, 吓呆的",17120
agile,'ædʒail,"a. 敏捷的, 灵活的, 机敏的",14174
agility,ә'dʒiliti,"n. 敏捷, 灵活, 机敏",14781
agitate,'ædʒiteit,"vt. 使摇动, 搅动, 使激动, 使不安\nvi. 鼓动, 煽动",12134
agitation,.ædʒi'teiʃәn,"n. 激动, 焦虑, 煽动, 搅动, 摇动\n[化] 搅拌; 搅拌作用",12905
aglow,ә'glәu,"a. 发光的, 通红的\nadv. 发光地",23037
agonize,'ægәnaiz,"vt. 使极度痛苦, 折磨\nvi. 感到痛苦",15401
agrarian,ә'grєәriәn,"a. 土地的, 耕地的\n[法] 土地的, 土地所有制的",12232
agreeable,ә'griәbl,"a. 令人愉快的, 同意的\n[医] 佳适的",13667
agriculture,'ægrikʌltʃә,"n. 农业\n[机] 农业, 农学",4165
ailment,'eilmәnt,"n. 病痛, 疾病\n[医] 疾病",8723
aim,eim,"n. 目标, 瞄准, 击中目标的能力\nvi. 对准目标, 致力, 打算\nvt. 瞄准\n[计] 医学文摘索引, 存取隔离机构, 高级信息管理程序, 先进接口模块\n应用接口模块, 医学人工智能, 相联索引法, 异步接口模块\n自动化信息管理, 自动化综合制造, 自动化库存管理",1931
air,єә,"n. 空气, 旋律, 态度\nvt. 晾, 使通风, 夸耀",370
airborne,'єәbɒ:n,"a. 升空的, 空运的, 空中传播的, 空降的",7134
aircraft,'єәkræft,"n. 航空器, 飞机\n[机] 航空器",2803
airsickness,'єәsiknis,n. 晕机,45524
ajar,ә'dʒɑ:,"a. 微开的, 半开的, 不和谐的\nadv. 微开, 半开, 不协调地",16792
akin,ә'kin,"a. 同类的, 同族的, 同源的",7884
alarm,ә'lɑ:m,"n. 惊恐, 警报, 警钟\nvt. 使惊恐, 警告\n[计] 报警信号",3693
alchemy,'ælkimi,"n. 炼金术, 魔力\n[化] 炼丹术; 炼金术; 金丹术",17003
alder,'ɒ:ldә,n. 桤木\n[机] 赤杨木,18527
alert,ә'lә:t,"a. 警觉的, 灵敏的, 留心的\nn. 警报\nvt. 使警觉, 通知, 使意识到",5318
algae,'ælgi:,"pl. 藻类, 海藻\n[化] 藻类",9463
algebra,'ældʒibrә,n. 代数学,12790
alien,'eiljәn,"n. 外国人, 外侨\na. 外国的, 相异的",3977
alienate,'eiljәneit,"vt. 使疏远, 离间, 转让\n[法] 转让, 让与, 疏远",8136
alight,ә'lait,"vi. 落下, 偶然发现\na. 点着的",17190
alignment,ә'lainmәnt,"n. 队列, 结盟, 校正\n[计] 校准; 对齐; 对准",7898
alike,ә'laik,"a. 相似的, 同样的\nadv. 一样, 以同样的方式",4389
alkali,'ælkәlai,n. 碱\na. 碱性的,28494
allegation,.æli'geiʃәn,"n. 断言, 主张, 申辩\n[法] 声明, 事实陈述, 断言",3516
allege,ә'ledʒ,"vt. 宣称, 主张, 提出, 断言\n[法] 断言, 指称, 指证",5319
allegiance,ә'li:dʒәns,"n. 忠贞, 效忠",7232
allegory,'æligәri,n. 寓言,13663
alleviate,ә'li:vieit,"vt. 减轻, 使缓和",7531
alliance,ә'laiәns,"n. 联盟, 联合\n[法] 同盟, 联盟, 联姻",3376
alligator,'æligeitә,n. 短吻鳄\n[机] 两栖装甲车,9530
alliteration,ә.litә'reiʃәn,n. 头韵\n[医] 同音韵错误症,28716
allocate,'ælәukeit,"vt. 分派, 分配\n[计] 分配",6763
allot,ә'lɒt,"vt. 分配, 分摊指定\n[经] (按股或按规定)分配, 配(拨)给, 规(派)定",13192
alloy,'ælɒi. ә'lɒi,"n. 合金\nvt. 将...铸成合金, 减低成色\nvi. 合铸",11808
allude,ә'lu:d,"vi. 暗指, 提及",8601
allure,ә'luә,"vt. 引诱, 吸引\nn. 魅力, 诱惑力",11876
allusion,ә'lu:ʒәn,"n. 提及, 暗指",11191
ally,'ælai. ә'lai,"n. 同盟者, 同盟国, 助手\nvt. 使联盟, 使联合, 使有关系\nvi. 结盟",2408
aloft,ә'lɒft,"adv. 在高处, 在上",12541
alone,ә'lәun,"a. 孤独的, 单独的, 独自的\nadv. 独自地",1097
aloof,ә'lu:f,"a. 远离的, 冷淡的\nadv. 远离, 冷漠超然地",14411
alter,'ɒ:ltә,v. 改变,2889
alteration,.ɒ:ltә'reiʃәn,"n. 变更, 改动\n[医] 变更",9007
alternate,'ɒ:ltәnәt,"a. 交替的, 轮流的, 间隔的\nv. 轮流, (使)交替",7396
alternately,'ɒ:ltәnәtli,"adv. 交替地, 间隔地",10939
alternation,.ɒ:ltә'neiʃәn,"n. 交互, 轮流, 间隔\n[计] 交替工作",24407
alternative,ɒ:l'tә:nәtiv,"n. 两者择一, 供替代的选择\na. 两者择一的, 供选择的\n[计] 选择对象",2073
altitude,'æltitju:d,"n. 高度, 海拔, 高处\n[电] 高度",6370
altruism,'æltruizm,"n. 利他主义, 利他",15638
aluminium,.ælju'miniәm,n. 铝\na. 铝的,32731
aluminum,ә'lu:minәm,n. 铝\n[化] 铝Al,4241
alumnus,ә'lʌmnәs,"n. 男毕业生, 男校友",7409
amalgamate,ә'mælgәmeit,"v. 使汞齐化, 合并",30000
amass,ә'mæs,"vt. 积聚, 堆积",9638
amateur,'æmәtә,"n. 业余爱好者, 外行, 爱好者\n[电] 业余家",5795
amaze,ә'meiz,vt. 使吃惊,8607
amazement,ә'meizmәnt,"n. 惊愕, 惊异",9329
amazing,ә'meiziŋ,a. 令人惊异的,2294
ambience,'æmbiәns,"n. 周围环境, 气氛",14090
ambiguous,æm'bigjuәs,"a. 不明确的, 模棱两可的\n[法] 意思含糊的, 模棱两可的, 暧昧的",7071
ambition,æm'biʃәn,"n. 野心, 志向",4283
ambitious,æm'biʃәs,"a. 有野心的, 抱负不凡的, 雄心勃勃的",4287
ambivalence,æm'bivәlәns,n. 矛盾情绪\n[医] 矛盾情绪(两种情感互相冲突),9873
ambivalent,æm'bivәlәnt,"a. 矛盾的, 模棱两可的\n[医] 矛盾情绪的",10693
amble,'æmbl,"n. 马的缓行步态, 缓行漫步\nvi. 马缓行, 从容漫步",13980
ambush,'æmbuʃ,"n. 埋伏, 伏兵, 伏击\nvt. 埋伏, 伏击\nvi. 埋伏",11303
amenable,ә'mi:nәbl,"a. 服从的, 会接纳的, 有义务的\n[法] 服从的, 有责任的, 有服从义务的",15693
amend,ә'mend,"vt. 修改, 改善, 改良\nvi. 改过自新",7371
amendment,ә'mendmәnt,"n. 修订, 改善, 改良, 改正\n[化] 调理剂; 修正",3667
amenity,ә'mi:niti,"n. 便利设施, 适意, 礼仪\n[法] 舒适, 方便, 优雅",0
amiable,'eimjәbl,"a. 亲切的, 和蔼可亲的\n[法] 亲和的, 和蔼可亲的",15763
amicable,'æmikәbl,"a. 友善的, 友好的\n[法] 友好的, 和睦的, 温和的",21684
amid,ә'mid,"prep. 在其间, 在其中\n[经] 在...中",3825
amnesia,æm'ni:zjә,"n. 健忘症, 记忆缺失\n[医] 记忆缺失, 遗忘[症]",14972
amnesty,'æmnisti,"n. 大赦, 赦免",10562
amount,ә'maunt,"n. 总数, 总额\nvi. 总计, 等同",782
ample,'æmpl,"a. 大量的, 充足的, 丰富的",6289
amplification,.æmplifi'keiʃәn,"n. 扩大, 放大\n[化] 放大; 放大作用",17701
amplify,'æmplifai,"vt. 增强, 放大, 扩大, 详述\nvi. 引伸",9595
analogous,ә'nælәgәs,"a. 类似的, 相似的\n[医] 类似的, 类同的",10202
analogy,ә'nælәdʒi,"n. 相似, 类似\n[计] 模拟",5913
analysis,ә'nælәsis,n. 分析\n[计] 分析机; 分析员; 分析; 分析程序,811
